City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,klyuchi,52.2667,79.1667,-0.07,95,100,7.71,RU,1731271867
83,thompson,55.7435,-97.8558,-0.91,74,75,1.54,CA,1731271868
84,langenthal,47.2153,7.7961,6.69,90,28,1.45,CH,1731271869
85,hamilton,39.1834,-84.5333,17.45,94,100,6.69,US,1731271690
86,lebu,-37.6167,-73.65,13.71,70,13,4.48,CL,1731271871
87,atafu village,-8.5421,-172.5159,28.46,69,82,4.6,TK,1731271872
88,cao bang,22.6667,106.25,18.23,75,28,0.84,VN,1731271873
89,yellowknife,62.456,-114.3525,-9.21,96,75,3.6,CA,1731271874
90,portage la prairie,49.9728,-98.2926,6.18,78,100,6.09,CA,1731271875
91,qamdo,31.1667,97.2333,-2.08,53,0,2.09,CN,1731271876
92,vadso,70.0744,29.7487,4.09,87,75,3.09,NO,1731271878
93,i-n-salah,27.1935,2.4607,24.79,26,100,2.26,DZ,1731271879
94,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1731271880
95,ust'-kut,56.7938,105.7672,-11.95,97,86,1.43,RU,1731271881
96,okhotsk,59.3833,143.3,-10.8,74,100,6.94,RU,1731271882
97,saucillo,28.0167,-105.2833,26.5,12,0,0.94,MX,1731271883
98,kingston,17.997,-76.7936,30.53,74,20,7.2,JM,1731271822
99,papatowai,-46.5619,169.4708,10.2,55,93,7.07,NZ,1731271885
100,melfort,52.8667,-104.6177,0.07,100,100,3.09,CA,1731271886
101,afaahiti,-17.75,-149.2833,24.61,86,100,7.26,PF,1731271887
102,lagunas,-5.2269,-75.6753,29.47,60,100,1.15,PE,1731271888
103,barentu,15.1139,37.5928,26.86,42,8,3.19,ER,1731271889
104,antipino,57.1068,65.7576,-6.84,80,42,5.36,RU,1731271890
105,alakurtti,66.9672,30.3491,-3.05,97,78,0.61,RU,1731271891
106,iskateley,67.6803,53.1512,-8.15,94,17,3.14,RU,1731271892
107,dogondoutchi,13.6393,4.0287,26.17,15,15,3.33,NE,1731271894
108,san patricio,28.017,-97.5169,32.97,52,29,3.22,US,1731271896
109,malabar,-33.9667,151.25,18.95,75,75,6.69,AU,1731271897
110,nar'yan-mar,67.6713,53.087,-7.69,94,28,3.28,RU,1731271898
111,svetlyy,54.675,20.1347,4.01,75,44,3.56,RU,1731271899
112,santa terezinha,-29.9002,-50.0904,20.71,74,0,9.48,BR,1731271900
113,college,64.8569,-147.8028,-10.61,77,20,1.54,US,1731271901
114,east london,-33.0153,27.9116,16.99,89,100,1.94,ZA,1731271902
115,abou el hassan,36.4166,1.1962,16.69,74,100,1.74,DZ,1731271903
116,nagqu,31.5,92.0,-3.49,59,10,1.7,CN,1731271904
117,thu dau mot,10.9667,106.65,26.73,100,81,1.03,VN,1731271905
118,queenstown,-31.8976,26.8753,12.75,92,100,2.12,ZA,1731271906
119,susuman,62.7833,148.1667,-35.15,99,93,0.46,RU,1731271908
120,sitka,57.0531,-135.33,8.94,57,75,11.83,US,1731271755
121,dem'yanovo,60.3511,47.0842,-0.62,96,98,3.95,RU,1731271910
122,isla mujeres,21.2311,-86.731,28.23,72,94,4.01,MX,1731271911
123,sho'rchi,38.0141,67.7899,11.25,52,38,1.48,UZ,1731271912
124,sinan,34.8262,126.1086,15.57,72,0,7.78,KR,1731271913
125,tyukhtet,56.5389,89.3011,-0.22,91,100,7.31,RU,1731271914
126,laascaanood,8.4774,47.3597,24.52,52,99,3.49,SO,1731271915
127,lebedyan',53.0194,39.1664,1.27,88,9,2.18,RU,1731271916
128,jayapura,-2.5333,140.7,23.66,96,64,2.12,ID,1731271917
129,porangatu,-13.4408,-49.1486,25.37,82,53,2.4,BR,1731271918
130,puerto ayora,-0.7393,-90.3518,24.19,76,83,2.68,EC,1731271919
131,cockburn town,21.4612,-71.1419,27.98,89,75,4.12,TC,1731271783
132,khovd,48.0056,91.6419,-3.81,44,41,3.74,MN,1731271921
133,marrakesh,31.6315,-8.0083,22.04,43,0,3.6,MA,1731271922
134,fomboni,-12.28,43.7425,26.71,75,1,2.47,KM,1731271923
135,bandiagara,14.3501,-3.6104,26.71,15,7,3.64,ML,1731271925
136,kavieng,-2.5744,150.7967,28.23,76,87,6.92,PG,1731271926
137,el charco,2.4769,-78.1105,29.01,79,99,3.4,CO,1731271927
138,avarua,-21.2078,-159.775,25.03,61,20,6.17,CK,1731271928
139,gamay,12.3854,125.2979,24.12,96,87,1.73,PH,1731271929
140,talnakh,69.4865,88.3972,-24.14,91,55,1.36,RU,1731271931
141,vilyuchinsk,52.9306,158.4028,-4.85,84,100,0.74,RU,1731271932
142,tazovsky,67.4667,78.7,-11.05,93,100,7.63,RU,1731271933
143,kirakira,-10.4544,161.9205,27.58,81,100,3.15,SB,1731271934
144,pointe-noire,-4.7761,11.8635,25.26,86,98,2.06,CG,1731271935
145,badger,64.8,-147.5333,-17.86,76,0,1.54,US,1731271936
146,leava,-14.3,-178.1667,27.31,83,97,8.48,WF,1731271937
147,quang ngai,15.1167,108.8,21.36,94,22,1.98,VN,1731271938
148,tsiombe,-25.3,45.4833,23.26,78,67,2.72,MG,1731271939
149,prieska,-29.6641,22.7474,17.84,20,0,4.02,ZA,1731271940
150,nur-sultan,51.1801,71.446,-0.03,100,100,7.0,KZ,1731271942
151,beau vallon,-20.4189,57.6953,25.13,88,40,2.57,MU,1731271943
152,lompoc,34.6391,-120.4579,21.23,37,0,4.63,US,1731271944
153,longyearbyen,78.2186,15.6401,-3.09,93,75,1.54,SJ,1731271945
154,santa elena de uairen,4.6167,-61.1333,28.15,43,68,3.02,VE,1731271946
155,tralee,52.2704,-9.7026,7.78,93,87,0.81,IE,1731271947
156,hobyo,5.3505,48.5268,26.79,79,100,7.48,SO,1731271948
157,valdivia,-39.8142,-73.2459,14.05,95,100,4.4,CL,1731271949
158,sokoni,-6.4333,39.55,26.61,79,0,5.19,TZ,1731271950
159,sarangani,5.4033,125.4636,28.28,73,87,0.79,PH,1731271951
160,albany,42.6001,-73.9662,10.75,45,100,0.89,US,1731271920
161,derbent,42.0678,48.2899,11.34,76,31,2.2,RU,1731271953
162,shakawe,-18.3667,21.85,26.8,51,94,2.05,BW,1731271954
163,kruisfontein,-34.0033,24.7314,12.6,88,12,0.47,ZA,1731271955
164,kragero,58.8693,9.4149,6.97,89,100,0.64,NO,1731271956
165,al jawf,29.5,38.75,21.65,36,0,3.94,SA,1731271958
166,pamandzi,-12.7967,45.2794,25.88,83,0,1.54,YT,1731271959
167,carutapera,-1.195,-46.02,26.73,75,59,5.06,BR,1731271960
168,amahai,-3.3333,128.9167,26.14,82,100,0.58,ID,1731271961
169,talara,-4.5772,-81.2719,24.42,64,0,6.69,PE,1731271962
170,korla,41.7597,86.1469,7.38,37,0,2.62,CN,1731271963
171,codrington,-38.2667,141.9667,9.99,83,7,3.44,AU,1731271964
172,palm coast,29.585,-81.2078,24.99,83,76,3.58,US,1731271965
173,callao,-12.0667,-77.15,21.16,68,35,9.77,PE,1731271966
174,tongchuanshi,35.0806,109.0897,12.38,77,100,2.08,CN,1731271967
175,atherton,53.5237,-2.4935,10.16,96,92,3.53,GB,1731271968
176,tiksi,71.6872,128.8694,-19.45,100,81,1.34,RU,1731271969
177,phongsali,21.6833,102.1058,18.4,83,99,0.34,LA,1731271970
178,port alfred,-33.5906,26.891,17.63,78,100,2.75,ZA,1731271971
179,sungailiat,-1.85,106.1333,26.02,85,100,0.96,ID,1731271921
180,porbandar,21.6422,69.6093,26.81,63,1,4.38,IN,1731271753
181,kuta,-8.7233,115.1723,26.97,89,20,1.03,ID,1731271975
182,bay city,43.5945,-83.8889,12.81,91,100,4.12,US,1731271679
183,cruzeiro do sul,-29.5128,-51.9853,26.39,54,0,3.0,BR,1731271977
184,kormilovka,55.0026,74.1028,-10.3,95,42,3.53,RU,1731271978
185,tolanaro,-25.0319,46.9987,25.04,78,0,9.26,MG,1731271979
186,constantia,44.1833,28.65,5.38,81,99,6.81,RO,1731271980
187,fianarantsoa,-21.4333,47.0833,18.16,89,100,1.53,MG,1731271981
188,selfoss,63.9331,-20.9971,6.14,78,75,9.44,IS,1731271982
189,dalbandin,28.8947,64.4101,17.6,29,51,3.27,PK,1731271983
190,sao joao da barra,-21.6403,-41.0511,24.05,73,80,5.6,BR,1731271984
191,at taj,24.2049,23.2857,16.1,39,0,3.31,LY,1731271985
192,sasciori,45.8667,23.5833,2.7,84,89,1.62,RO,1731271987
193,inverell,-29.7833,151.1167,22.84,76,99,0.89,AU,1731271988
194,puerto baquerizo moreno,-0.9,-89.6,25.55,57,20,6.17,EC,1731271729
195,huarmey,-10.0681,-78.1522,21.18,74,17,4.78,PE,1731271991
196,terekli-mekteb,44.1671,45.8698,7.64,74,34,2.62,RU,1731271992
197,onega,63.9061,38.1404,1.61,91,100,3.16,RU,1731271993
198,palmer,42.1584,-72.3287,13.62,41,100,1.34,US,1731271994
199,mezhdurechenskiy,59.6,65.9333,-7.31,77,85,5.99,RU,1731271995
